39 39 00 15 00 4c 00 00 00 7f 00 14 0d 00 3d 09 00 00 00 07 00 20 00 24 46 10 02 00 33 00 00 4e
36 36 00 00 00 14 00 00 00 28 00 00 1d 00 00 20 00 00 36 50 20 00 00 38 28 2e 00 00 00 09 00 5e
37 37 00 00 00 08 00 00 00 13 00 00 0f 07 00 37 16 00 15 22 31 00 00 30 53 27 00 00 05 1a 00 19
37 37 00 00 00 08 00 00 00 13 00 00 0f 07 00 37 16 00 15 22 31 00 00 30 53 27 00 00 05 1a 00 19
4a 4a 00 16 00 50 00 00 00 7f 00 18 0a 00 32 00 00 00 00 00 00 2c 00 30 44 10 00 00 37 00 00 42
32 32 00 00 00 18 00 00 00 2b 00 00 16 00 00 0b 0a 00 31 5f 1a 00 00 3b 26 35 00 00 09 00 00 55
28 28 00 00 00 00 00 00 00 1f 00 00 11 14 00 27 17 00 13 2c 37 00 00 1a 50 33 00 00 16 26 00 20
28 28 00 00 00 00 00 00 00 1f 00 00 11 14 00 27 17 00 13 2c 37 00 00 1a 50 33 00 00 16 26 00 20
5f 5f 00 2b 00 5f 1f 00 00 7f 00 14 08 00 2a 00 00 00 00 00 00 27 00 2f 3b 10 00 00 12 00 00 45
55 55 00 00 00 30 00 00 00 30 00 00 1d 00 00 00 16 00 2b 54 10 05 00 2f 18 30 00 00 00 00 00 61
3a 3a 00 00 00 00 00 00 00 1d 00 00 19 15 00 23 17 00 1a 30 38 01 00 1e 3f 3e 00 00 1e 1d 00 25
3a 3a 00 00 00 00 00 00 00 1d 00 00 19 15 00 23 17 00 1a 30 38 01 00 1e 3f 3e 00 00 1e 1d 00 25
48 48 00 23 0c 68 28 00 00 7f 00 18 00 00 30 00 00 00 00 00 00 22 00 3b 40 0d 00 00 04 00 00 3c
55 55 00 00 00 31 00 00 00 22 00 00 1c 00 00 00 12 00 35 3f 16 00 00 3f 16 2b 00 00 00 03 00 68
3b 3b 00 00 00 00 00 00 00 09 00 00 1d 0d 00 1b 10 00 25 26 3a 10 00 2e 36 3b 00 00 1f 1f 0f 26
3b 3b 00 00 00 00 00 00 00 09 00 00 1d 0d 00 1b 10 00 25 26 3a 10 00 2e 36 3b 00 00 1f 1f 0f 26
